iter	Logloss
0	0.6716295595
1	0.6517973598
2	0.6349032975
3	0.619407757
4	0.6063388501
5	0.5971001613
6	0.5872702068
7	0.5781731821
8	0.5706952177
9	0.5637231632
10	0.5577282383
11	0.5518951638
12	0.5467115224
13	0.5427971548
14	0.5394346549
15	0.5353270795
16	0.5326247599
17	0.5304022818
18	0.5275357792
19	0.5248541029
20	0.5223175576
21	0.5198869861
22	0.5184475892
23	0.5169765464
24	0.5151429381
25	0.5137066438
26	0.5127275914
27	0.5115614599
28	0.5104981086
29	0.5095801819
30	0.5085815654
31	0.507823418
32	0.5069236104
33	0.5062090272
34	0.5050086085
35	0.5046004548
36	0.5040656112
37	0.5032743163
38	0.5028834385
39	0.5021131071
40	0.5014652285
41	0.5008946496
42	0.5002395426
43	0.4997983296
44	0.4992537613
45	0.4984124031
46	0.4979657352
47	0.4974072423
48	0.4968126466
49	0.4965310229
50	0.4961443109
51	0.4957653022
52	0.4953202435
53	0.4949081303
54	0.4946894994
55	0.4943155137
56	0.4939552203
57	0.4936704722
58	0.49320797
59	0.4926505896
60	0.4924033443
61	0.4921219663
62	0.4917661718
63	0.4912179008
64	0.4910297596
65	0.4908603975
66	0.4902919791
67	0.4900269873
68	0.4896342982
69	0.4893548244
70	0.4890920822
71	0.4889486396
72	0.4886260229
73	0.4882052594
74	0.4879193911
75	0.487680718
76	0.4872727326
77	0.4867838882
78	0.4866400976
79	0.4863274931
80	0.486018452
81	0.485688483
82	0.4854350941
83	0.4851652935
84	0.4848930137
85	0.484671976
86	0.484467801
87	0.4842176246
88	0.4838048681
89	0.4836054711
90	0.4833344995
91	0.4830570047
92	0.4825163282
93	0.482262398
94	0.4820444056
95	0.4814708907
96	0.4812402496
97	0.4809617305
98	0.4807092731
99	0.4805496653
