iter	Passed	Remaining
0	2	231
1	4	214
2	6	204
3	8	197
4	10	194
5	12	188
6	13	184
7	15	182
8	17	177
9	19	174
10	21	171
11	22	168
12	24	164
13	26	162
14	28	160
15	30	158
16	31	155
17	33	153
18	35	150
19	36	147
20	38	145
21	40	142
22	41	139
23	43	137
24	44	134
25	46	132
26	48	130
27	49	127
28	51	125
29	52	123
30	54	121
31	56	119
32	57	117
33	59	115
34	60	113
35	62	111
36	64	109
37	65	107
38	67	105
39	68	103
40	70	101
41	72	99
42	73	97
43	75	95
44	76	93
45	78	91
46	79	90
47	81	88
48	83	86
49	84	84
50	86	82
51	87	81
52	89	79
53	91	77
54	92	75
55	94	74
56	95	72
57	97	70
58	99	68
59	100	67
60	102	65
61	103	63
62	105	61
63	107	60
64	108	58
65	109	56
66	111	54
67	112	53
68	114	51
69	116	49
70	117	48
71	119	46
72	120	44
73	122	43
74	124	41
75	125	39
76	127	38
77	129	36
78	130	34
79	132	33
80	133	31
81	135	29
82	137	28
83	138	26
84	140	24
85	141	23
86	143	21
87	144	19
88	146	18
89	148	16
90	149	14
91	151	13
92	152	11
93	154	9
94	156	8
95	157	6
96	159	4
97	161	3
98	162	1
99	164	0
